GA: [U2 , R' D R]
GB: [U , R' D R]
GD: [U' , R' D R]
HA: [U : [R D' R' , U2]]
HB: [R D' R' , U']
HD: [U2 : [R D' R' , U]]
KA: [U D : [R D R' , U2]]
KB: [D' : [U , R' D R]]
KD: [D' : [U' , R' D R]]
LA: [D' U : [R D' R' , U2]]
LB: [D : [U , R' D' R]]
LD: [D : [U' , R' D' R]]
OA: [U : [R D R' , U2]]
OB: [R D R' , U']
OD: [U2 : [R D R' , U]]
PA:[U2 , R' D' R]
PB: [U , R' D' R]
PD: [U' , R' D' R]
SA: [U D' : [R D R' , U2]]
SB: [D' : [R D R' , U']]
SD: [D : [U' , R' D R]]
TA:[U D : [R D' R' , U2]]
TB: [D : [R D' R' , U']]
TD: [D' : [U' , R' D' R]]
AG: [R' D R , U2]
AH: [U' : [R D' R' , U2]]
AK: [D U' : [R D R' , U2]]
AL: [D : [R' D' R , U2]]
AO: [U' : [R D R' , U2]]
AP: [R' D' R , U2]
AS: [D' U' : [R D R' , U2]]
AT: [D U' : [R D' R' , U2]]
BG: [D U' : [R D' R' , U2]]
BH: [U' , R D' R']
BK: [D' : [R' D R , U]]
BL: [D : [R' D' R , U]]
BO: [U' , R D R']
BP: [R' D' R , U]
BS: [D' : [U' , R D R']]
BT: [D : [U' , R D' R']]
DG: [R' D R , U']
DH: [U' : [R D' R' , U']]
DK: [D' : [R' D R , U']]
DL: [D : [R' D' R , U']]
DO: [U' : [R D R' , U']]
DP: [R' D' R , U']
DS: [D : [R' D R , U']]
DT: [D' : [R' D' R , U']]
AU: R F' R' U':[R D R',U2]
AV: U R' D R:[U2,R D' R']
AW: R D' R':[R' D R,U2]
AX: R' U' D' R:[R U' R',D]
WA: [R D' R' : [U2 , R' D R]]
UA: [R F' R' U : [R D R' , U2]]
VA: [U2 , R' D R U' R D' R']
XA: [R' U' D' R : [D , R U' R']]
UD: R2 F R U':[R' D' R,U2]
BU: R F':[R' U' R,D]
BV: [R' D R U' R D' R',U]	
BW: [U',R D' R' U R' D R]
BX: R' B:[D',R U R']
DU: R2 F R U:[R' D' R,U2]	
DV: [R' D R U' R D' R',U']
DW: R D' R':[R' D R,U']
DX: R' B:[D',R U' R']
UB: [R F' : [D , R' U' R]]
VB: [U , R' D R U' R D' R']
WB: [R D' R' U R' D R , U']
XB: [R' B : [R U R' , D']]
VD: [U' , R' D R U' R D' R']
WD: [R D' R' : [U' , R' D R]]
XD: [R' D' R : [D , R U' R']]
UW: U R' F R:[R D R',U2]
WU: U R' F R:[U2,R D R']
VU: R U' R' D:[U2,R' D' R]
UV: R U' R' D:[R' D' R,U2]
UX: R B R' U:[R' D R,U]
XU: R B R' U:[U,R' D R]	
VX: R U' R' U:[R D' R',U2]	
XV: R U' R' U':[R D' R',U2]	
VW: R U' R' U D:[R D' R',U2]
WV: R U' R' U' D:[R D' R',U2]
WX: R B:[D,R' U R]	
XW: R B:[R' U R,D]
KG: [U : [R U' R' , D]]
LH: [D : [R U R' , D]]
KS: [U : [R U' R' , D2]]
SK: [U : [D2 , R U' R']]
KT: D R' U R:[U',R D' R']
TK: D R' U R: [R D' R', U']
KL: [R' : [F' , R D' R' D]]
LK: [D' R' D : [F' , D' R D R']]
LO: [R D2 : [R' U' R , D']]
LP: [D , R U R']
LS: [D' R D' : [R' U' R , D2]]
SL: [D' R D : [R' U' R , D2]]
LT: [D : [R U R' , D2]]
TL: [D' : [R U R' , D2]]
GK: [U : [D , R U' R']]
GO: [U D : [R U' R' , D2]]
GP: [U R' D : [R U' R' , D2]]
PG: [U R' D' : [R U' R' , D2]]
PH: [R U R' , D2]
PL: [R U R' , D]
GS: [U D : [R U' R' , D]]
SG: [U D2 : [R U' R' , D']]
GH: [D R' : [F' , R D' R' D]]
GT: [R' D R : [D' , R U R']]
TG: [R' D R2 : [U , R' D' R]]
HG: [R' D : [F' , D' R D R']]
HK: [l' U : [D , R U' R']]
KH: U R U':[R D' R', U']
HL: [D2 : [R U R' , D']]
HO: R' U R:[R D' R', U']
HP: [D2 , R U R']
HT: [D2 : [R U R' , D]]
TH: [D' : [R U R' , D']]
OH: R' U R:[U',R D' R']
OG: [U D' : [R U' R' , D2]]
OK: [U : [D' , R U' R']]  
KO: [U : [R U' R' , D']]
OL: [R D : [R' U' R , D]]
OP: [R D' : [R' D R , U]]
PO: [R D' : [U , R' D R]]
OS: [U' : [R' U' R , D']]
SO: [U' : [D' , R' U' R]]
AB: [R' B' R : [R D R' , U']]
AD: [R' D R U2 : [R' D' R , U]]
AF: [F: [U2, R' D' R]]
AI: R' F R D U:[U, R' D' R]
AN: [R' U D R2 : [U' , R' D' R]]
AQ: [R' U D : [R D R' , U2]]
BA: [R' B' R : [U' , R D R']]
BD: [R F' R' : [R' D R, U]]
BE: [R : [U , R D R']]
BF: [R2 : [D' , R U' R']]
BI: [R2 U' : [D' , R U R']]
BR: [R2 U : [R' U' R , D]]
DA: [R' D R U' : [R' D' R , U']]
DB: [R F' R' : [U , R' D R]]
DE: [U' R2 : [D , R' U2 R]]
DN: [U' R' : [U2 , R' D' R]]
DQ: [R' D' : [U' , R' D R]]
DR: [U' R' : [U' , R' D' R]]
EB: [R2 : [D , R' U R]]
ED: [U' R : [U2 , R D R']]
EF: [L, U' R' U]
EI: [l' U : [R D' R' , U2]]
EN: [R' D R2 D' R2' : [U , R2 D R2' D' R2]]
EQ: [R' , F' L F]
FA: [F : [R' D' R , U2]]
FB: [R' : [U' , R' D' R]]
FE: [U' R' U , L]
FN: [R U' D' R' : [D , R' U R]]
FQ: [R' F : [R U R' , D]]
FR: [l U' l' , F]
IE: [l' U' : [R D' R' , U2]]
NE: [R : [U , R2 D R2 D' R2]]
QE: [F' L F , R']
NF: [R U' D' R' : [R' U R , D]]
QF: [R' F : [D , R U R']]
RF: [F , l U' l']
QA: [R' U' D : [R D R' , U2]]
IA: [R' D R U' R : [F , R' U R U']]
NA: [R' U D R : [D' , R U' R']]
IB: [R2 U' : [R U R' , D']]
IN: [R' F' R D U : [U2 , R' D' R]]
IQ: [R U D' : [R' D' R , U2]]
IR: [R U R' U D : [R D R' , U2]]
ND: [U' R2' : [D' , R U2 R']]
NI: [R' F' R D U : [R' D' R , U2]]
NR: [U R2 U' : [D' , R U R']]
QD: [R' D' : [R' D R , U']]
QI: [R D' U' : [R' D' R , U2]]
RI: [R U R' D' : [R' D R , U2]]
RN: [U R2 U' : [R U R' , D']]
QR: [R , U' L' U]
RB: [R2 U : [D , R' U' R]]
RD: [U' R2' : [D' , R U' R']]
RQ: [U' L' U , R]
FG: [R' U' : [D , R U R']]
FH: [U' R U' : [D' , R' U R]]
FK: [R : [F , R' U R U']]
FL: [D R' U' : [D' , R U R']]
FO: [D' R : [F , R' U R U']]
FP: [R' U' : [D' , R U R']]
FS: [l U2 l' , F]
FT: [D' R' U' : [D' , R U R']]
FU: [U' R' U : [R U' R' , D]]
FV: [U' D' R' U : [R U' R' , D]]
FW: [R U' R' : [D , R' U R]]
FX: [U' D R' U : [R U' R' , D]]
